[N-]=[N+]=NCCCCCC(=O)O
CC(C)c1ccc(C(CC(=O)O)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]C(CC(=O)O)c1cccc(C(F)(F)F)c1
CC(C)(CCO)[N]=[N+]=[N-]
[N-]=[N+]=[N]C(CC(=O)O)c1cccc2ccccc12
COC(=O)CC([N]=[N+]=[N-])c1ccccc1
[N-]=[N+]=[N]C(CO)CC(=O)O
COc1ccc2[nH]cc(CC[N]=[N+]=[N-])c2c1
Cc1cccc(CC(CC(=O)O)[N]=[N+]=[N-])c1
CC(CCO)[N]=[N+]=[N-]
[N-]=[N+]=[N]CCc1ccsc1
[N-]=[N+]=[N]C(CCC(=O)O)CC(=O)O
CCC(CC)([N]=[N+]=[N-])C(=O)O
[N-]=[N+]=[N]C(CC(=O)O)CC(=O)O
N#CCC[N]=[N+]=[N-]
CCO[Si](C)(C)CCC[N]=[N+]=[N-]
CCO[Si](CCC[N]=[N+]=[N-])(OCC)OCC
CO[Si](CCC[N]=[N+]=[N-])(OC)OC
C[Si](C)(C)O[Si](CCC[N]=[N+]=[N-])(O[Si](C)(C)C)O[Si](C)(C)C
CC(C)(C)OC(=O)N1CCC([N]=[N+]=[N-])(C(=O)O)C1
[N-]=[N+]=[N]C1CN2CCC1CC2
[N-]=[N+]=[N]C1CCS(=O)(=O)C1
CCOC(=O)C([N]=[N+]=[N-])C(=O)OCC
[N-]=[N+]=[N]Cc1cc(Br)no1
[N-]=[N+]=[N]CCCBr
COC(=O)[C@H](CCl)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H](CCl)C(=O)O
[N-]=[N+]=[N]CC(=O)NCC(=O)O
CCOC(=O)[C@H](C)[N]=[N+]=[N-]
COC(=O)C(C)[N]=[N+]=[N-]
C[C@@H]([N]=[N+]=[N-])C(=O)OC(C)(C)C
[N-]=[N+]=[N][C@@H](CC(=O)OCc1ccccc1)C(=O)O
[N-]=[N+]=[N][C@H](CCC(=O)O)C(=O)O
CCOC(=O)C(C)[N]=[N+]=[N-]
CC(C)CC([N]=[N+]=[N-])C(=O)O
[N-]=[N+]=[N][C@H](Cc1c[nH]c2ccccc12)C(=O)O
[N-]=[N+]=[N][C@@H](CCC(=O)OCc1ccccc1)C(=O)O
COC(=O)CCC([N]=[N+]=[N-])C(=O)O
CC[C@H](C)[C@@H]([N]=[N+]=[N-])C(=O)OC(C)(C)C
COC(=O)[C@@H](CC(C)C)[N]=[N+]=[N-]
CCOC(=O)[C@@H](CCSC)[N]=[N+]=[N-]
COC(=O)[C@@H](CCSC)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H](CC1CCCCC1)C(=O)O
CC(C)(C)OC(=O)[C@@H](Cc1ccc(O)cc1)[N]=[N+]=[N-]
CCOC(=O)[C@H]([N]=[N+]=[N-])C(C)C
COC(=O)[C@H]([N]=[N+]=[N-])C(C)C
COC(=O)CC[N]=[N+]=[N-]
CCOCCC[N]=[N+]=[N-]
[N-]=[N+]=[N][C@H](CCCNC(N)=O)C(=O)O
[N-]=[N+]=[N]C(CCCCN=C(N)N)C(=O)O
COc1ccc(C[N]=[N+]=[N-])cc1F
[N-]=[N+]=[N]C1CCOC1
[N-]=[N+]=[N]Cc1ccoc1
COc1ccc(C[N]=[N+]=[N-])cc1O
[N-]=[N+]=[N]Cc1cccc(I)c1
CCOc1ccc(C[N]=[N+]=[N-])cc1OC
COCCC[N]=[N+]=[N-]
[N-]=[N+]=[N]CCN(Cc1ccccc1)Cc1ccccc1
CC(C)CC([N]=[N+]=[N-])c1ccccc1
CC(C)=CC[N]=[N+]=[N-]
COc1ccc(C[N]=[N+]=[N-])cc1C
CC(C)(C)OC(=O)NCc1cccc(C[N]=[N+]=[N-])c1
[N-]=[N+]=[N]CCc1ccc(O)c([N+](=O)[O-])c1
[N-]=[N+]=[N]C1COC1
CC1(C[N]=[N+]=[N-])COC1
[N-]=[N+]=[N]Cc1cccc(Oc2ccccc2)c1
[N-]=[N+]=[N]Cc1cccc(-c2ccccc2)c1
[N-]=[N+]=[N]CC#Cc1ccccc1
[N-]=[N+]=[N]CCCc1ccccc1
[N-]=[N+]=[N]CCCN1CCCCC1
CC(C)(C)OC(=O)N1CC[C@H](C[N]=[N+]=[N-])[C@@H](O)C1
[N-]=[N+]=[N]CCOc1ccc([N+](=O)[O-])cc1
[N-]=[N+]=[N]CCN1CCOCC1
CC(C)(C)OC(=O)N1CCN(CCC[N]=[N+]=[N-])CC1
[N-]=[N+]=[N]CC1CCC(C(=O)O)CC1
CCN(CC)CCCC[N]=[N+]=[N-]
[N-]=[N+]=[N]Cc1ccc(OC(F)F)cc1
CSc1ccc(C[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1ccc(N2CCCC2)cc1
[N-]=[N+]=[N]CCN1CCC(F)(F)CC1
[N-]=[N+]=[N]C1CCC(F)(F)CC1
COc1ccc(C([N]=[N+]=[N-])c2ccc(OC)cc2)cc1
CC1(C)CCC([N]=[N+]=[N-])CC1
[N-]=[N+]=[N]CCCP(=O)(O)O
[N-]=[N+]=[N][C@@H]1CONC1=O
C[C@@H]([N]=[N+]=[N-])C(=N)O
CC(=O)Nc1ccc(C[N]=[N+]=[N-])cc1
CCCN1CCC([N]=[N+]=[N-])CC1
N#CC1([N]=[N+]=[N-])CCN(Cc2ccccc2)CC1
[N-]=[N+]=[N]C1(C(=O)O)CCN(Cc2ccccc2)CC1
[N-]=[N+]=[N]CCCCO
[N-]=[N+]=[N]C1(C(=O)O)CCN(C(=O)OCc2ccccc2)CC1
CCC1([N]=[N+]=[N-])CCN(C(=O)OC(C)(C)C)CC1
[N-]=[N+]=[N][C@@H]1CCNC1
[N-]=[N+]=[N][C@H]1CCNC1
C[C@@H](O)[C@H]([N]=[N+]=[N-])C(N)=O
CC(CO)CC[N]=[N+]=[N-]
CC(=O)C=C(C)[N]=[N+]=[N-]
[N-]=[N+]=[N]C1CC(=O)c2sccc21
[N-]=[N+]=[N]CCCCP(=O)(O)O
COC(=O)CCC[N]=[N+]=[N-]
[N-]=[N+]=[N]C1CCC(=O)CC1
[N-]=[N+]=[N]CC1CCN(C(=O)OCc2ccccc2)CC1
CC1(C)OB(c2ccc(C[N]=[N+]=[N-])cc2)OC1(C)C
[N-]=[N+]=[N]CC1CCOCC1
CC1(C)CC([N]=[N+]=[N-])CC(C)(C)N1[O]
N#CC1([N]=[N+]=[N-])CCOCC1
[N-]=[N+]=[N]C1CCS(=O)(=O)CC1
[N-]=[N+]=[N]C1(C(=O)O)CCOCC1
COC(=O)C(CCl)[N]=[N+]=[N-]
C[C@@H](O)[C@H]([N]=[N+]=[N-])C(=O)O
[N-]=[N+]=[N][C@@H](CCO)C(=O)O
COC(=O)[C@@H](CO)[N]=[N+]=[N-]
CC(C)[C@H]([N]=[N+]=[N-])C(=O)O
CSCC[C@H]([N]=[N+]=[N-])C(=O)O
Cc1cc(Br)ccc1C[N]=[N+]=[N-]
[N-]=[N+]=[N]C1CCCNC1
CC(C)[C@@H](CO)[N]=[N+]=[N-]
[N-]=[N+]=[N]Cc1ccc(Br)cc1
[N-]=[N+]=[N]Cc1cc(Br)cs1
[N-]=[N+]=[N]Cc1cccs1
CC([N]=[N+]=[N-])c1ccc(Cl)cc1
[N-]=[N+]=[N]C(c1ccccc1)c1ccc(Cl)cc1
CCOC(=O)/C=C(/C)[N]=[N+]=[N-]
N#Cc1ccc(CC[N]=[N+]=[N-])cc1
[N-]=[N+]=[N][C@@H](CC1CC1)C(=O)O
CN(C)Cc1ccc(C[N]=[N+]=[N-])cc1
CC[C@@H](C)[C@H]([N]=[N+]=[N-])C(=O)O
CCOc1ccc(C[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]CC1CCCCN1
[N-]=[N+]=[N]CC1CCNCC1
[N-]=[N+]=[N]Cc1ccc(F)cc1
Cc1cc(F)ccc1C[N]=[N+]=[N-]
[N-]=[N+]=[N]C(Cc1c[nH]c2cccc(F)c12)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1ccc(F)cc1)C(=O)O
COc1cc(C[N]=[N+]=[N-])ccc1O
[N-]=[N+]=[N]Cc1ccc(O)cc1
[N-]=[N+]=[N]Cc1ccc(I)cc1
Cc1ccc(C[N]=[N+]=[N-])cc1
CC1CCC([N]=[N+]=[N-])CC1
CS(=O)(=O)c1ccc(C[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1ccc(Oc2ccccc2)cc1
[N-]=[N+]=[N]CCCCc1ccccc1
CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(N)=O)[N]=[N+]=[N-])CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)O
CC[C@H](C)[C@@H]([N]=[N+]=[N-])C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC1=O
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC([N]=[N+]=[N-])CC4)c3n2)COC1
[N-]=[N+]=[N][C@@H](Cc1ccccc1)C(=O)N1CC(=Cc2ccc(Cl)c(Cl)c2)C(=O)C(=Cc2ccc(Cl)c(Cl)c2)C1
[N-]=[N+]=[N]C(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O
C[C@H]1CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([N]=[N+]=[N-])C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@H]1O
[N-]=[N+]=[N]CCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@H]([N]=[N+]=[N-])C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@H]([N]=[N+]=[N-])C12CC3CC(CC(O)(C3)C1)C2
COc1cc(CN(CC[N]=[N+]=[N-])C(=O)c2cccs2)ccc1OCc1ccccc1
C[C@@H](O)[C@@H]([N]=[N+]=[N-])c1nnc([C@H](CCC(N)=O)NC(=O)N[C@@H](CO)C(=O)O)o1
Cc1c(-c2cccc(S(=O)(=O)N(C)C)c2)c2ncccc2n1C/C(F)=C/C[N]=[N+]=[N-]
C[C@@H]([N]=[N+]=[N-])C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)O
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]([N]=[N+]=[N-])[C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)[N]=[N+]=[N-])C(N)=O
[N-]=[N+]=[N]C(=N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@@H](CCCNC(=N)[N]=[N+]=[N-])[N]=[N+]=[N-])C(=O)O
[N-]=[N+]=[N]CC1CCC(CNc2nc(NCc3ccccc3OC(F)(F)F)ncc2[N+](=O)[O-])CC1
[N-]=[N+]=[N]C(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1CC(O)CC1C(=O)NCC(=O)NC(Cc1cccs1)C(=O)NC(CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NC(CCCN=C(N)N)C(=O)O)CC2CCCCC21
CC(C)(C)[N]=[N+]=[N-]
C[C@@H](COc1ccc(-c2cnc3ccc(N[C@H](C)c4cccc(F)c4)nn23)cc1)[N]=[N+]=[N-]
Cc1ccc(C2C(C#N)=C([N]=[N+]=[N-])Oc3c2c(=O)oc2ccccc32)cc1
[N-]=[N+]=[N]C1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
Cc1ccc(C(=O)OCc2ccc([C@@H](C[N]=[N+]=[N-])C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1
CSCC[C@@H]([N]=[N+]=[N-])C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCC[C@H]1C(=O)O
[N-]=[N+]=[N]C(=N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCNC(=N)[N]=[N+]=[N-])[N]=[N+]=[N-])C(=O)O
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)[N]=[N+]=[N-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCC[N]=[N+]=[N-])C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(N)=O)C(C)C
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CO)[N]=[N+]=[N-])CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)[N]=[N+]=[N-])C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)[N]=[N+]=[N-])NC(=O)[C@@H](CC(=O)O)[N]=[N+]=[N-])C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@@H](CC(=O)O)[N]=[N+]=[N-])C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
[N-]=[N+]=[N]C(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C([N]=[N+]=[N-])CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)[N]=[N+]=[N-])NC(=O)C(CC(=O)[N]=[N+]=[N-])NC1=O
[N-]=[N+]=[N]CCc1c[nH]c2ccc(O)cc12
CC[N]=[N+]=[N-]
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)C[N]=[N+]=[N-])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](Cc1ccc(O)cc1)[N]=[N+]=[N-])C(=O)O
CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(Cc1cnc[nH]1)[N]=[N+]=[N-])C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCNC(=N)[N]=[N+]=[N-])C(=O)NCC(=O)NC(CCCNC(=N)[N]=[N+]=[N-])C(=O)NCC(=O)O)C(C)C)C(C)CC)C(=O)O
COc1ccc(OC)c(C(O)CNC(=O)C[N]=[N+]=[N-])c1
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1C[N]=[N+]=[N-]
CC12CC3CC(C)(C1)CC([N]=[N+]=[N-])(C3)C2
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([N]=[N+]=[N-])CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
CC(C)(CO)[N]=[N+]=[N-]
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H]([N]=[N+]=[N-])[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
C[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCC[N]=[N+]=[N-])C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)O
CCCCCCCCCC(=O)NC1C(Oc2c3cc4cc2Oc2ccc(cc2Cl)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C2NC(=O)C(NC(=O)C4NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)O3)NC(=O)C([N]=[N+]=[N-])c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3C(C(=O)O)NC2=O)OC(CO)C(O)C1O
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)([N]=[N+]=[N-])C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
COCCCC/C(=N\OCC[N]=[N+]=[N-])c1ccc(C(F)(F)F)cc1
[N-]=[N+]=[N][C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12
COc1cc2c(cc1C)CC([N]=[N+]=[N-])C2
Cc1[nH]c2ccc(O)cc2c1CC[N]=[N+]=[N-]
COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@H]([N]=[N+]=[N-])C(C)C)[C@H](CC(C)C)CN1CC2
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](C[N]=[N+]=[N-])Cc2ccc(F)c(F)c2)oc1Cl
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@H]([N]=[N+]=[N-])C1)C2
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](C[N]=[N+]=[N-])Cc2cccc(F)c2)sc1Cl
[N-]=[N+]=[N]CC[C@@H](O)c1cccc(OCC2CCCCC2)c1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@@H]([N]=[N+]=[N-])[C@H](O)[C@H](C)O1
CC(C)([N]=[N+]=[N-])C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12
COc1cccc(OCCC[N]=[N+]=[N-])c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1
Cc1nn(C)c2c1C(c1ccc(C(F)(F)F)cc1)C(C#N)=C([N]=[N+]=[N-])O2
Cc1[nH]c2ccccc2c1CC[N]=[N+]=[N-]
CCOc1cc(CC[N]=[N+]=[N-])ccc1O
Cc1cc(O)c(-c2ccc([C@@H](C)C[N]=[N+]=[N-])cc2)c2c1[nH]c(=O)c1sccc12
COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)OCC(CO)(CO)[N]=[N+]=[N-]
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(C)NC(=O)C(Cc1ccc(O)cc1)[N]=[N+]=[N-])C(=O)O
C=CC1=C(C(=O)O)N2C(=O)[C@H]([N]=[N+]=[N-])[C@H]2SC1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)OCc1ccc(NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C[N]=[N+]=[N-])N2C(=O)C=CC2=O)C(C)C)cc1)C(C)C
CCC1=C[C@@H]2[C@H](C1)C[C@]2(C[N]=[N+]=[N-])CC(=O)O
Cn1cc(-c2nc(NC3CCCCC3[N]=[N+]=[N-])c(F)c3c2C(=O)NC3)cn1
[N-]=[N+]=[N]Cc1ccc(Cl)s1
[N-]=[N+]=[N]Cc1cnc2ccc(F)cn12
CC(C)(C)OC(=O)N1C(Br)=CC=CC1[N]=[N+]=[N-]
COc1cccc(C[N]=[N+]=[N-])n1
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H]([N]=[N+]=[N-])C3=CCC=CC3)[C@H]2SC1
[N-]=[N+]=[N]C(CO)c1cccc(Cl)c1
[N-]=[N+]=[N]CC1CCCCC1
[N-]=[N+]=[N]CP(=O)(O)O
