[N-]=[N+]=[N]Cc1ccccc1-c1ccccc1
[N-]=[N+]=[N][C@@H](CC1CCCCC1)C(=O)O
CC(C)(C)OC(=O)[C@@H](Cc1ccc(O)cc1)[N]=[N+]=[N-]
[N-]=[N+]=[N]C(CCCCN=C(N)N)C(=O)O
[N-]=[N+]=[N]C1CCOC1
CCOc1ccc(C[N]=[N+]=[N-])cc1OC
COc1ccc(C[N]=[N+]=[N-])cc1C
[N-]=[N+]=[N]CCc1ccc(O)c([N+](=O)[O-])c1
[N-]=[N+]=[N]Cc1cccc(Oc2ccccc2)c1
[N-]=[N+]=[N]Cc1cccc(-c2ccccc2)c1
[N-]=[N+]=[N]CC#Cc1ccccc1
[N-]=[N+]=[N]CCCc1ccccc1
[N-]=[N+]=[N]CCOc1ccc([N+](=O)[O-])cc1
[N-]=[N+]=[N]CC1CCC(C(=O)O)CC1
[N-]=[N+]=[N]Cc1ccc(OC(F)F)cc1
[N-]=[N+]=[N]Cc1ccc(N2CCCC2)cc1
[N-]=[N+]=[N]CCN1CCC(F)(F)CC1
[N-]=[N+]=[N]C1CCC(F)(F)CC1
COc1ccc(C([N]=[N+]=[N-])c2ccc(OC)cc2)cc1
[N-]=[N+]=[N]CCCP(=O)(O)O
C[C@@H]([N]=[N+]=[N-])C(=N)O
N#CC1([N]=[N+]=[N-])CCN(Cc2ccccc2)CC1
[N-]=[N+]=[N]C1(C(=O)O)CCN(Cc2ccccc2)CC1
[N-]=[N+]=[N]C1(C(=O)O)CCN(C(=O)OCc2ccccc2)CC1
[N-]=[N+]=[N][C@@H]1CCNC1
[N-]=[N+]=[N]CC1CCN(C(=O)OCc2ccccc2)CC1
[N-]=[N+]=[N]C1CCS(=O)(=O)CC1
[N-]=[N+]=[N][C@@H](CCO)C(=O)O
CSCC[C@H]([N]=[N+]=[N-])C(=O)O
Cc1cc(Br)ccc1C[N]=[N+]=[N-]
[N-]=[N+]=[N]Cc1ccc(Br)cc1
N#Cc1ccc(CC[N]=[N+]=[N-])cc1
Cc1cc(F)ccc1C[N]=[N+]=[N-]
[N-]=[N+]=[N]C(Cc1c[nH]c2cccc(F)c12)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1ccc(F)cc1)C(=O)O
COc1cc(C[N]=[N+]=[N-])ccc1O
[N-]=[N+]=[N]Cc1ccc(I)cc1
CS(=O)(=O)c1ccc(C[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1ccc(Oc2ccccc2)cc1
[N-]=[N+]=[N]CCc1c[nH]c2ccc(O)cc12
COc1ccc(OC)c(C(O)CNC(=O)C[N]=[N+]=[N-])c1
CC12CC3CC(C)(C1)CC([N]=[N+]=[N-])(C3)C2
[N-]=[N+]=[N][C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12
COc1cc2c(cc1C)CC([N]=[N+]=[N-])C2
Cc1[nH]c2ccc(O)cc2c1CC[N]=[N+]=[N-]
Cc1[nH]c2ccccc2c1CC[N]=[N+]=[N-]
C=CC1=C(C(=O)O)N2C(=O)[C@H]([N]=[N+]=[N-])[C@H]2SC1
CCC1=C[C@@H]2[C@H](C1)C[C@]2(C[N]=[N+]=[N-])CC(=O)O
[N-]=[N+]=[N]Cc1cnc2ccc(F)cn12
COc1cccc(C[N]=[N+]=[N-])n1
[N-]=[N+]=[N]C(CO)c1cccc(Cl)c1
[N-]=[N+]=[N]CC1CCCCC1
[N-]=[N+]=[N]CP(=O)(O)O
C[C@H]([N]=[N+]=[N-])c1ccc(F)cc1F
[N-]=[N+]=[N]CCOCCC(=O)O
COc1cccc([C@@H](CO)[N]=[N+]=[N-])c1
[N-]=[N+]=[N]Cc1ccc2cc(O)ccc2c1
C[C@H]([N]=[N+]=[N-])c1ccc2ccccc2c1
C[C@H]([N]=[N+]=[N-])c1ccc(Br)cc1
C[C@H]([N]=[N+]=[N-])c1ccccc1F
C[C@H]([N]=[N+]=[N-])c1cccc(F)c1
C[C@H]([N]=[N+]=[N-])c1ccc(Cl)cc1
C[C@H]([N]=[N+]=[N-])c1ccc(C#N)cc1
C[C@H]([N]=[N+]=[N-])c1ccc(F)cc1
[N-]=[N+]=[N][C@@H]1CCCc2ccccc21
C[C@H]([N]=[N+]=[N-])c1ccccc1C(F)(F)F
C[C@H]([N]=[N+]=[N-])c1ccccn1
[N-]=[N+]=[N]Cc1ccc(Br)cc1F
[N-]=[N+]=[N][C@H](c1ccccc1)C(F)(F)F
[N-]=[N+]=[N][C@@H]1CCc2ccccc2C1
C[C@H]([N]=[N+]=[N-])c1cccc(O)c1
[N-]=[N+]=[N][C@H](CC(=O)O)c1cccc(Br)c1
[N-]=[N+]=[N][C@H](CC(=O)O)c1cccc(F)c1
Cc1ccc([C@H](CC(=O)O)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N][C@H](CC(=O)O)c1ccc([N+](=O)[O-])cc1
[N-]=[N+]=[N][C@@H]1CCc2[nH]c3ccccc3c2C1
[N-]=[N+]=[N][C@H](CC(=O)O)c1cccc2ccccc12
[N-]=[N+]=[N][C@H](CC(=O)O)c1ccc(Cl)cc1Cl
COc1cccc([C@H](CC(=O)O)[N]=[N+]=[N-])c1
[N-]=[N+]=[N][C@H](CC(=O)O)c1cccc(C(F)(F)F)c1
N#Cc1ccc([C@H](CC(=O)O)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N][C@@H](CC(=O)O)Cc1ccc(Cl)cc1Cl
[N-]=[N+]=[N][C@@H](CC(=O)O)Cc1ccccc1Br
[N-]=[N+]=[N][C@@H](CC(=O)O)Cc1cccc(Cl)c1
[N-]=[N+]=[N]Cc1cccc(Cl)c1F
[N-]=[N+]=[N][C@@H](CC(=O)O)Cc1ccc(Br)cc1
[N-]=[N+]=[N][C@@H](CC(=O)O)Cc1ccc(Cl)cc1
[N-]=[N+]=[N][C@@H](Cc1nc2ccccc2s1)C(=O)O
COC(=O)C1CCCCC1[N]=[N+]=[N-]
Cc1cccc([C@@H](C)[N]=[N+]=[N-])c1
[N-]=[N+]=[N]Cc1cccc(F)c1F
CC([N]=[N+]=[N-])c1ccc(C(F)(F)F)cc1
[N-]=[N+]=[N]C(CC(=O)O)c1cccnc1
CC(C)(C)OC(=O)[C@@H](CCc1ccccc1)[N]=[N+]=[N-]
C[C@@H]([N]=[N+]=[N-])c1ccc2ccccc2c1
COC(=O)C([N]=[N+]=[N-])c1ccccc1Cl
C[C@@H]([N]=[N+]=[N-])c1ccccc1O
C[C@@H]([N]=[N+]=[N-])c1cccc(C(F)(F)F)c1
CC(C)(C)OC(=O)N1CCC([C@@H]([N]=[N+]=[N-])C(=O)O)CC1
[N-]=[N+]=[N][C@@H](c1ccccc1)C(F)(F)F
[N-]=[N+]=[N][C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O
COc1cccc2c1CC[C@@H]([N]=[N+]=[N-])C2
[N-]=[N+]=[N]C[C@@H]1CCCN1C(=O)OCc1ccccc1
[N-]=[N+]=[N][C@@H](CC(=O)O)c1cccc(Cl)c1
[N-]=[N+]=[N][C@H]1CCc2[nH]c3ccccc3c2C1
[N-]=[N+]=[N][C@H]1CCCN(C(=O)OCc2ccccc2)C1
[N-]=[N+]=[N][C@@H](CC(=O)O)c1cccc(Cl)c1Cl
[N-]=[N+]=[N][C@@H](CC(=O)O)c1ccc(Cl)cc1Cl
Cc1ccccc1[C@@H](CC(=O)O)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H](CC(=O)O)c1ccc2ccccc2c1
[N-]=[N+]=[N][C@@H](CC(=O)O)c1cccc(C(F)(F)F)c1
N#Cc1ccc([C@@H](CC(=O)O)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N][C@@H](CC(=O)O)c1cccc(O)c1
[N-]=[N+]=[N][C@H](CC(=O)O)Cc1ccccc1Br
C[C@H](CC(=O)O)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@H]1CCCNC1=O
Cc1c(C[N]=[N+]=[N-])cccc1-c1ccccc1
[N-]=[N+]=[N][C@@H](CO)C(F)(F)F
CC(C)[C@@H](CC(=O)O)[N]=[N+]=[N-]
CC([N]=[N+]=[N-])c1c(F)cccc1F
Cc1cccc([C@H](C)[N]=[N+]=[N-])c1
Cc1ccc(F)c(C[N]=[N+]=[N-])n1
Cc1cc(C[N]=[N+]=[N-])ncc1Br
[N-]=[N+]=[N]Cc1ccc2ccccc2n1
Cc1ccccc1[C@H](C)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@H]1CCOC1
[N-]=[N+]=[N][C@H](CO)Cc1ccc(Br)cc1
[N-]=[N+]=[N]Cc1ccc(Oc2cccnc2)cc1
[N-]=[N+]=[N]CC1(c2ccccc2Cl)CC1
CC([N]=[N+]=[N-])c1ccc(Cl)cc1Cl
[N-]=[N+]=[N]C1CCN(CC2CCOCC2)CC1
[N-]=[N+]=[N]CC1CCN(C(=O)c2ccccc2)CC1
[N-]=[N+]=[N]Cc1ccc([N+](=O)[O-])cc1
CC(C)(C)OC(=O)NC1CCN(CC[N]=[N+]=[N-])CC1
CN(CC[N]=[N+]=[N-])Cc1ccccc1C#N
C[C@@H]([N]=[N+]=[N-])C(=O)Nc1ccc(F)cc1
[N-]=[N+]=[N]Cc1ccc2ccccc2c1
[N-]=[N+]=[N]C1CCCCC1NC(=O)c1cccnc1Cl
[N-]=[N+]=[N]C1(c2ccccc2F)CCOCC1
CC([N]=[N+]=[N-])c1ccc(Cl)c(Cl)c1
CC(C)(C)c1cccc(C[N]=[N+]=[N-])c1
[N-]=[N+]=[N][C@H](CC(=O)O)c1cccs1
CC(=O)N1CCC([N]=[N+]=[N-])CC1
[N-]=[N+]=[N][C@@H](Cc1ccsc1)C(=O)O
Cc1ccc(C(C)(C)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]CCc1ccccc1Cl
[N-]=[N+]=[N]Cc1ccc(Oc2ccccc2F)cc1
[N-]=[N+]=[N]CCc1ccc(S(=O)(=O)F)cc1
Cc1cnn(-c2ccc(C[N]=[N+]=[N-])cc2)c1
COc1ccc2c(c1)CCC2[N]=[N+]=[N-]
[N-]=[N+]=[N]C(Cc1cc(F)c(F)c(F)c1)C(=O)O
[N-]=[N+]=[N]Cc1ccc(-[n+]2ccccc2)cc1
CN1CCC(Oc2ccc(C[N]=[N+]=[N-])cc2)CC1
C[C@H](OCc1ccccc1)[C@H]([N]=[N+]=[N-])C(=O)O
[N-]=[N+]=[N][C@@H]1CCCC[C@H]1NC(=O)OCc1ccccc1
COC(=O)C([N]=[N+]=[N-])c1cccc(Cl)c1
[N-]=[N+]=[N]C(Cc1ccccn1)C(=O)O
[N-]=[N+]=[N][C@H](Cc1cccnc1)C(=O)O
[N-]=[N+]=[N]C1CNC(=O)C12CC2
CC(C)(C[N]=[N+]=[N-])c1ccccn1
[N-]=[N+]=[N]CCOc1ccccc1
[N-]=[N+]=[N]Cc1nc2c(F)cccc2[nH]1
[N-]=[N+]=[N]C(C(=O)O)C1CCCCC1
[N-]=[N+]=[N][C@@H]1CN2CCC1CC2
[N-]=[N+]=[N]CCc1nc2c(O)cccc2[nH]1
[N-]=[N+]=[N]Cc1[nH]nc2c1COCC2
CCOC(=O)C(CCCN=C(N)N)[N]=[N+]=[N-]
[N-]=[N+]=[N]Cc1nnc2ccccn12
CCC([N]=[N+]=[N-])c1ccc(F)cc1
CC(C)([N]=[N+]=[N-])C(=O)OCc1ccccc1
[N-]=[N+]=[N][C@H]1C[C@@H]1c1ccc(-c2cccc(O)c2)cc1
N#Cc1ccc2c(c1)CCC[C@@H]2[N]=[N+]=[N-]
[N-]=[N+]=[N]C1CCc2cc(F)ccc2C1
[N-]=[N+]=[N]CC1(c2cccc(F)c2)CC1
[N-]=[N+]=[N]Cc1cnc(Cl)c(Cl)c1
Cc1cccc2c(C[C@@H]([N]=[N+]=[N-])C(=O)O)c[nH]c12
Cc1ccc2c(C[C@@H]([N]=[N+]=[N-])C(=O)O)c[nH]c2c1
Cc1cccc2[nH]cc(C[C@H]([N]=[N+]=[N-])C(=O)O)c12
CCOC(=O)CC([N]=[N+]=[N-])c1cccc(Br)c1
CC(=O)C([N]=[N+]=[N-])c1ccccc1
CC(C)c1ccc(C(CO)[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]C(C(=O)O)c1cc(Cl)ccc1Cl
[N-]=[N+]=[N]C(Cc1c[nH]c2c(F)cccc12)C(=O)O
[N-]=[N+]=[N][C@H](Cc1c[nH]c2ccc(Cl)cc12)C(=O)O
[N-]=[N+]=[N]CCCNS(=O)(=O)c1ccccc1[N+](=O)[O-]
[N-]=[N+]=[N]CCCCNC(=N)[N]=[N+]=[N-]
[N-]=[N+]=[N]C1(C(=O)O)CCC2(CC1)OCCO2
[N-]=[N+]=[N]Cc1cccc(F)c1
Cc1ccccc1C([N]=[N+]=[N-])c1ccncc1
[N-]=[N+]=[N]Cc1cc2ccccc2s1
[N-]=[N+]=[N]Cc1csc2ccccc12
CCC(C)Oc1ccc(C[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1ccc(C(=O)O)o1
[N-]=[N+]=[N]Cc1nnc2ccc(Cl)nn12
[N-]=[N+]=[N]C12CCCC(NC(=O)OCc3ccccc3)(CC1)C2
[N-]=[N+]=[N]C/C=C/c1ccccc1
COc1cccc(C(CC#N)[N]=[N+]=[N-])c1
[N-]=[N+]=[N][C@H](CO)c1cc(F)cc(F)c1
COc1cccc([C@H](CO)[N]=[N+]=[N-])c1
Cc1ccc([C@H](C)[N]=[N+]=[N-])cc1F
CC([N]=[N+]=[N-])c1ccc(OC(F)(F)F)cc1
[N-]=[N+]=[N][C@@H](CCC1CCCCC1)C(=O)O
Cn1nnc2cc(C[N]=[N+]=[N-])ccc21
[N-]=[N+]=[N]C1=C2NC=CN2CC=C1Br
[N-]=[N+]=[N]Cc1ccc(-c2ccc(O)cc2)cc1
[N-]=[N+]=[N]C1CCN(c2ncccc2Cl)CC1
[N-]=[N+]=[N]Cc1ccc(C(F)(F)F)cc1Br
N#Cc1ccc(C[N]=[N+]=[N-])c(C(F)(F)F)c1
[N-]=[N+]=[N]CCn1cc(F)cn1
[N-]=[N+]=[N]Cc1ccncc1O
[N-]=[N+]=[N]C1CCc2cc(Br)ccc21
[N-]=[N+]=[N]C1CCc2cc(Cl)ccc21
[N-]=[N+]=[N]C1CCc2cc(F)ccc21
[N-]=[N+]=[N]Cc1ccc2cc[nH]c2c1
[N-]=[N+]=[N]Cc1ccc2c(c1)CCN2
[N-]=[N+]=[N]Cc1ccc(OC2CCOCC2)c(F)c1
CCN(CC[N]=[N+]=[N-])Cc1cccc(Br)c1
[N-]=[N+]=[N]C(Cc1ccccc1)Cc1ccccc1
Cn1cc(CC[N]=[N+]=[N-])c2ccccc21
CC([N]=[N+]=[N-])c1ccc2ccccc2c1
CC1CCN(c2ccccc2C[N]=[N+]=[N-])CC1
C[C@H](C[N]=[N+]=[N-])NC(=O)OCc1ccccc1
[N-]=[N+]=[N]C[C@H]1CC[C@@H](C(=O)O)CC1
COC(=O)C(Cc1cccc(O)c1)[N]=[N+]=[N-]
[N-]=[N+]=[N]C1CCN(c2ccccn2)CC1
[N-]=[N+]=[N]Cc1ccc(-n2cc(Cl)cn2)cc1
[N-]=[N+]=[N]C(CO)c1ccc(Cl)cc1Cl
COC(=O)c1cccnc1N1CCC([N]=[N+]=[N-])CC1
[N-]=[N+]=[N]CCC1CCN(Cc2ccccc2)CC1
[N-]=[N+]=[N]CCc1nc2ccccc2[nH]1
[N-]=[N+]=[N]C(c1ccc(Cl)nc1)C1CC1
[N-]=[N+]=[N]C(c1ccnc(Cl)c1)C1CC1
[N-]=[N+]=[N]CCN1C(=O)c2ccccc2C1=O
[N-]=[N+]=[N]CCc1ccccc1C(=O)O
Cc1cccc(OCC[N]=[N+]=[N-])c1
[N-]=[N+]=[N]CCOc1ccc(F)cc1
[N-]=[N+]=[N]Cc1ccc(C(=O)c2ccccc2)cc1
CC1(C)Oc2cccc(C[N]=[N+]=[N-])c2O1
[N-]=[N+]=[N][C@@H](CCC(=O)O)C(=O)[O-]
[N-]=[N+]=[N]C1CCOC1=O
[N-]=[N+]=[N][C@@H](CC(=O)O)c1ccccc1O
[N-]=[N+]=[N]CCc1ccc(Br)s1
[N-]=[N+]=[N]CCc1nc2cc(Cl)ccc2[nH]1
C[C@H]([N]=[N+]=[N-])c1cc(Cl)ccc1O
[N-]=[N+]=[N]C1CC2CCC1C2
[N-]=[N+]=[N]C(C(=O)O)c1ccc(Br)cc1
CC(C)(C)OC(=O)[C@H]1CC[C@@H]([N]=[N+]=[N-])CC1
[N-]=[N+]=[N][C@@H](CO)c1ccc2ccccc2c1
CC([N]=[N+]=[N-])c1cc(Cl)ccc1F
CC[C@@H]([N]=[N+]=[N-])c1ccccn1
[N-]=[N+]=[N][C@H]1CCc2cc(Cl)ccc21
C[C@@H]([N]=[N+]=[N-])c1cc(F)cc(Cl)c1
[N-]=[N+]=[N][C@H]1CCCc2cc(F)ccc21
Cc1ccc([C@H](CO)[N]=[N+]=[N-])cc1
CCC([N]=[N+]=[N-])c1ccccc1F
N#Cc1cccc(CC([N]=[N+]=[N-])C(=O)O)c1
[N-]=[N+]=[N]C1CCCc2cnccc21
[N-]=[N+]=[N]Cc1ncc(C(F)(F)F)cc1Cl
CCOC(=O)c1ccc(C[N]=[N+]=[N-])cc1
C[C@H]([N]=[N+]=[N-])c1cccnc1
[N-]=[N+]=[N]Cc1nc2ccccc2[nH]1
[N-]=[N+]=[N][C@@H](COCc1ccccc1)C(=O)O
[N-]=[N+]=[N][C@H](COCc1ccccc1)C(=O)O
CCOC(=O)C(Cc1ccccc1)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H](CCC(=O)O)C(=O)OCc1ccccc1
[N-]=[N+]=[N][C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O
[N-]=[N+]=[N]CCOCc1ccccc1
Cc1nc(C(F)(F)F)c(C[N]=[N+]=[N-])s1
CC(C)(C)OC(=O)CC[C@H](CC(=O)O)[N]=[N+]=[N-]
[N-]=[N+]=[N][C@H](CC(=O)O)Cc1cccc2ccccc12
[N-]=[N+]=[N][C@H](CC(=O)O)Cc1ccc([N+](=O)[O-])cc1
[N-]=[N+]=[N]CCNC(=O)OCC1c2ccccc2-c2ccccc21
[N-]=[N+]=[N][C@H](c1ccc(F)cc1)C(F)(F)F
[N-]=[N+]=[N][C@@H](CO)c1cccc(C(F)(F)F)c1
[N-]=[N+]=[N][C@H](CO)c1cccc2ccccc12
[N-]=[N+]=[N][C@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21
[N-]=[N+]=[N]Cc1ccccc1C(F)(F)F
[N-]=[N+]=[N]Cc1ccccc1OC(F)F
[N-]=[N+]=[N]CC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O
[N-]=[N+]=[N]Cc1cccc(C(F)(F)F)c1
Cc1cccc([C@H](CO)[N]=[N+]=[N-])c1
CCC([N]=[N+]=[N-])c1cccc(C(F)(F)F)c1
[N-]=[N+]=[N]Cc1ccc(F)c(O)c1
[N-]=[N+]=[N]Cc1cccc(OC(F)(F)F)c1
[N-]=[N+]=[N]C(CO)c1ccc(O)cc1
C[C@@H]([N]=[N+]=[N-])c1ccc(I)cc1
[N-]=[N+]=[N]Cc1ccc(OC(F)(F)F)cc1
COc1ccc(C2(C[N]=[N+]=[N-])CC2)cc1
[N-]=[N+]=[N]CC(=O)c1ccc(F)cc1
[N-]=[N+]=[N]C(C(=O)O)c1ccc(F)cc1
[N-]=[N+]=[N][C@@H](C(=O)O)c1ccc(F)cc1
[N-]=[N+]=[N]CCn1ccc(=O)[nH]c1=O
[N-]=[N+]=[N][C@@H]1C[C@H]1c1ccc(F)cc1
[N-]=[N+]=[N]C1CC1c1ccc(Br)cc1
[N-]=[N+]=[N][C@H](c1ccccc1)C1CCC1
N#Cc1ccc(C[N]=[N+]=[N-])cc1
CS(=O)(=O)N[C@@H](c1ccccc1)[C@H]([N]=[N+]=[N-])c1ccccc1
[N-]=[N+]=[N]C(c1ccc(C(F)(F)F)cc1)C1CC1
[N-]=[N+]=[N]CC1CCc2ccccc2O1
[N-]=[N+]=[N][C@@H]1CCOc2c(Br)cccc21
COc1ccc2c(c1)CCC[C@@H]2[N]=[N+]=[N-]
[N-]=[N+]=[N][C@H](C(=O)O)c1cccc(OC(F)(F)F)c1
Cc1cccc2c1CCCC2[N]=[N+]=[N-]
Cc1cccc2c1CCC[C@@H]2[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H]1CCCc2ccc(Br)cc21
[N-]=[N+]=[N]C1COc2cc(F)ccc21
CC(C)([N]=[N+]=[N-])c1cc(Cl)cc(Cl)c1
[N-]=[N+]=[N][C@@H](CO)c1ccc(C(F)(F)F)cc1
CC(C)([N]=[N+]=[N-])c1ccc(F)c(F)c1
[N-]=[N+]=[N][C@@H]1COc2c(F)cccc21
[N-]=[N+]=[N][C@@H]1COc2c(Br)cccc21
[N-]=[N+]=[N][C@@H]1COc2cc(Br)ccc21
[N-]=[N+]=[N][C@@H]1COc2cc(F)ccc21
[N-]=[N+]=[N][C@H]1COc2c(Br)cccc21
[N-]=[N+]=[N][C@H]1COc2c(F)cc(F)cc21
[N-]=[N+]=[N][C@@H]1COc2cccc(F)c21
CC(C)([N]=[N+]=[N-])c1cc(F)cc(F)c1
CC([N]=[N+]=[N-])c1ccc(F)c(F)c1F
[N-]=[N+]=[N]C(CO)c1cc(F)c(F)c(F)c1
[N-]=[N+]=[N][C@H](CO)c1ccc(Cl)c(Cl)c1
[N-]=[N+]=[N]Cc1ccc(Br)c(F)c1F
[N-]=[N+]=[N]C1CC(=O)N(Cc2ccccc2)C1
[N-]=[N+]=[N]C(Cc1ccc(-c2ccccn2)nc1)C(=O)O
CC([N]=[N+]=[N-])c1cccc(Cl)c1Cl
CC(C)([N]=[N+]=[N-])c1ccc2ccccc2c1
[N-]=[N+]=[N]CC(F)(F)C(F)(F)F
[N-]=[N+]=[N]CC(F)(F)C(F)(F)C(F)(F)F
[N-]=[N+]=[N]CC(c1ccccc1)c1ccccc1
CC(C)(C)OC(=O)CN1C(=O)C([N]=[N+]=[N-])CCc2ccccc21
[N-]=[N+]=[N][C@@H](Cc1ccc(F)c(F)c1F)C(=O)O
[N-]=[N+]=[N]C1CCCN(c2ccccc2)C1
[N-]=[N+]=[N][C@H](C(=O)O)c1ccccc1
[N-]=[N+]=[N]Cc1cccc(C(=O)O)c1
[N-]=[N+]=[N][C@@H](Cc1c(F)ccc(F)c1F)C(=O)O
[N-]=[N+]=[N]Cc1c([N+](=O)[O-])ccc(Cl)c1Cl
[N-]=[N+]=[N]Cc1cccc(Cl)c1Cl
[N-]=[N+]=[N][C@@H](C(=O)O)c1ccc(O)cc1
[N-]=[N+]=[N]C(C(=O)O)c1ccc(O)cc1
[N-]=[N+]=[N][C@H](Cc1ccccc1Br)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1ccccc1Br)C(=O)O
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(Cl)cc1
[N-]=[N+]=[N]C(Cc1ccccc1F)C(=O)O
[N-]=[N+]=[N][C@H](Cc1ccccc1F)C(=O)O
[N-]=[N+]=[N]C(CC(=O)O)c1cccc(F)c1
[N-]=[N+]=[N]C(Cc1cccc(F)c1)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1cccc(F)c1)C(=O)O
[N-]=[N+]=[N]C(Cc1ccc(F)cc1)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1ccc(O)c(F)c1)C(=O)O
[N-]=[N+]=[N][C@@H](Cc1ccc(O)c(I)c1)C(=O)O
Cc1cc(C)c(C[N]=[N+]=[N-])c(C)c1
[N-]=[N+]=[N]C(CC(=O)O)c1ccccc1[N+](=O)[O-]
[N-]=[N+]=[N]C(Cc1ccc([N+](=O)[O-])cc1)C(=O)O
[N-]=[N+]=[N]Cc1ccc(Cl)cc1Cl
[N-]=[N+]=[N]C(C(=O)O)c1ccc(F)cc1F
[N-]=[N+]=[N]CCc1cc(Cl)ccc1Cl
Cc1ccc(C)c(C[N]=[N+]=[N-])c1
[N-]=[N+]=[N]C1CCc2ccccc21
[N-]=[N+]=[N][C@@H]1C[C@H]1c1ccccc1
[N-]=[N+]=[N]Cc1ccc2c(c1)OCCO2
[N-]=[N+]=[N]CC1COc2ccccc2O1
[N-]=[N+]=[N]Cc1ccccc1CC(=O)O
[N-]=[N+]=[N]C(CC(=O)O)c1ccccc1
[N-]=[N+]=[N]Cc1cc(Cl)nc(Cl)c1
[N-]=[N+]=[N][C@H](CC(=O)O)c1ccccc1
C[C@@H]([N]=[N+]=[N-])c1cc(Cl)ccc1O
[N-]=[N+]=[N]Cc1ccc(Cl)cc1Br
[N-]=[N+]=[N]CC(=O)OCc1ccccc1
[N-]=[N+]=[N][C@@H](CSc1ccccc1)C(=O)O
[N-]=[N+]=[N]C(Cc1ccccc1O)C(=O)O
C[C@H]1CC[C@H]([N]=[N+]=[N-])CN1C(=O)OCc1ccccc1
[N-]=[N+]=[N][C@H](c1cccc(Br)c1)C(F)(F)F
[N-]=[N+]=[N]C(CO)c1ccc(Br)cc1
CC([N]=[N+]=[N-])c1c(F)cccc1Cl
CC[C@@H]([N]=[N+]=[N-])c1ccc(Br)cc1
[N-]=[N+]=[N][C@@H](CO)c1ccc(Cl)c(C(F)(F)F)c1
